,beta0,beta1,beta2,beta3,tau1,tau2
2022-07-21,0.9627308434634935,185.05345985094166,370.8147055391419,0.25756888053004184,0.007102309393859536,-5.728947441797916e-05
2022-07-22,0.9561839335137791,126.68168042120355,206.80968364723483,140.31563667821717,0.008414873571035722,0.008157455363573811
2022-07-25,0.9587874907188787,141.18008623125684,232.38048190078115,157.70548136807426,0.007514002450861214,0.007276711909938455
2022-07-26,0.9553255149492275,141.37769000373166,225.70932619663134,157.91351918191896,0.007611786706196158,0.007360549949379034
2022-07-27,0.9601411655135733,151.2792285372543,243.73850634086253,167.06986053922128,0.007086094188919833,0.006929633327417832
2022-07-28,0.9475939494672185,147.5123588639022,236.53207003912135,166.7933871220065,0.007259831546202214,0.0070292041027319434
2022-07-29,0.9446651365389385,161.8455027667925,244.13957820242803,182.50628987676615,0.006804027220696169,0.006575425289324765
2022-08-01,1.1140904627094266,62.7636548464467,-48.50354192855131,68.38419873688352,0.18626114019580212,-0.00010998919629593915
2022-08-02,1.1095452921535258,64.22280981963664,-49.57260959447652,52.005431240677666,0.1829632667776409,-3.3484625981904556e-06
2022-08-03,1.116116994900001,65.67258504259553,-50.812722482070754,58.154008013633,0.18038942791425144,-0.00012677726081247173
2022-08-04,1.1062767336500543,67.313504616488,-51.967635023114795,53.94521392195828,0.1768549164121877,-1.5013852636621599e-05
2022-08-05,1.4830082239812037,-1.087922383952705,-2.404005462319534,195.88690058073948,1.9532040602884713,0.022735352381029725
2022-08-08,1.460628398391189,-1.0666181417946872,-2.371858647825431,214.51165123070456,1.9336207795708085,0.020766821589195586
2022-08-09,1.4628595205978292,-1.0656933322360673,-2.378126533668396,221.67584440232196,1.9328265604867363,0.020091387033910345
2022-08-10,1.4541238506885081,-1.0553845573634886,-2.367792162330413,229.26817072285155,1.9240479105052846,0.01942657458863936
2022-08-11,1.489926851902476,-1.0840411835891233,-2.4173270592394145,237.77617990586577,1.966242442248828,0.018715164825980138
2022-08-12,1.511011739573892,-1.101865266763144,-2.4452017848769008,246.7775945661822,1.9952138871511398,0.018024948924444652
2022-08-15,1.4791740617177132,-1.0642636437611503,-2.4103754856131543,277.9339440026175,1.9589917967408137,0.016002307692855166
2022-08-16,1.49955632421679,-1.0767719261363318,-2.445115967351973,290.50993131779336,1.9754997459432935,0.015299245673775944
2022-08-17,1.5206218498234336,-1.0890304543965628,-2.4856564401883645,304.2668667085082,1.9873697864318938,0.01459755321158571
2022-08-18,1.5118425982953476,-1.0742696700001169,-2.485255368088021,319.1809036620548,1.967802830293245,0.013912422153869976
2022-08-19,1.5409570127230734,-1.0914451308567437,-2.536950936396435,336.15300764908295,1.9922214885860148,0.013196083615675504
2022-08-22,1.5644324189847438,-1.0971340316980496,-2.5844605145885833,398.80253671610006,2.015442630286589,0.011106644879452773
2022-08-23,1.5732005881991808,-1.100854576764873,-2.600836681341649,425.2377768902914,2.0193433361498534,0.01041179035609779
2022-08-24,1.5849739935992526,-1.1000834785309503,-2.630233986896574,455.8021143689414,2.0138060665434905,0.009704883455785802
2022-08-25,1.5731555928314098,-1.0800602482825987,-2.6272674211325424,490.7725490977114,2.0009956685352446,0.009008737099468223
2022-08-26,1.053439810559626,158.1982804010935,-130.87794995949653,-1568.3445878916518,0.11139780289362922,-199102.6576209341
2022-08-30,0.7049261153478388,227.36419873652875,-186.56057703380557,920.821029952176,0.08907915896883088,23725.58016725221
2022-08-31,1.1516985435594242,249.70389221576923,-219.57726377062363,313.7326206577711,0.09711964850429998,190726.6504223813
2022-09-01,1.1171529823780095,286.24785307621335,-253.9899850725496,2023.3335694630732,0.09260294050886406,335447.08704659087
2022-09-02,1.2084451369266498,335.8468535638353,-304.16383583790537,324.0278141603551,0.09004752021779687,-212083.76227217025
2022-09-05,1.1780504485727628,781.9351789079773,-741.9193432410382,318.01066388199257,0.07331225325153178,1199943.778305155
2022-09-06,1.0137987668721624,1588.7256743259604,-1461.0956680208521,9468.280652983129,0.02976043245884162,1414598.6573005565
2022-09-07,98.60390189870465,-96.23949675832249,1.2672762312842423,33.46635098071727,-2115.941026608112,-2510.8088204397945
2022-09-08,55.04788379756154,-52.681688934691365,-2.2783847958352776,46.20991090614723,-1192.9053055643633,-2984.0158779857034
2022-09-09,47.44981165487122,-45.081050378849476,-1.355844571960417,40.9525748856951,-1129.9627333118342,-2132.7368395766816
2022-09-12,58.709906934129826,-56.3274527756915,-1.3050563515855669,42.04748579358729,-1261.6884119257004,-2565.655943366846
2022-09-13,1.0810152640182082,41.695191952217385,75.70275418304351,42.953590291116505,0.023763995097578938,0.023122083194557243
2022-09-14,1.075437031956701,43.34289227747972,79.60714951742217,44.606693775791555,0.022734996141205655,0.022347478229722023
2022-09-15,1.0765080869377799,42.9193320691711,78.5218844584167,44.07491415083753,0.023093959693112346,0.022483995334649207
2022-09-16,1.0764150988710783,41.92445085635806,76.22588813920885,43.62654411519701,0.023666708801998056,0.023015726027500575
2022-09-20,1.082769607817793,45.11497989169178,83.88024847800173,47.31340313297697,0.021795703144057918,0.02117557613985487
2022-09-21,1.0821598714951657,45.12136227115337,83.9636601340287,48.186542853587355,0.021645128255835245,0.021266672781993165
2022-09-22,1.1027035892476869,44.110010049958966,81.62338000753036,46.211000230302055,0.022301726058107825,0.021731758842514083
2022-09-23,1.1252033041864669,45.05261335268369,85.29807995989266,48.09456079310171,0.021418065389562417,0.020841644924768053
2022-09-26,1.1610400097563365,68.77716302569381,139.46103880770286,0.05339803940923355,0.01816483121479358,-0.00022848739344860647
2022-09-27,1.2072454612237438,44.76367969724409,84.84324972023414,47.729475101797476,0.021304663466460465,0.02074310253688378
2022-09-28,1.1088462516144557,45.99663796394052,85.99089823645843,48.756163728823104,0.021356281966380865,0.02081565676942921
2022-09-29,1.1062703000653882,45.741670494135526,85.26617317646762,48.733776862358084,0.021532242567376236,0.02095726001196241
2022-09-30,1.0885562186322053,47.85094857527371,89.98473446813964,52.00909570694608,0.020493329256219703,0.01990881311362834
2022-10-03,1.0931639586794466,48.1171699850769,90.23566328407767,52.12992761551779,0.020469897473178175,0.019942859562589833
2022-10-04,1.1025436022317534,48.5602497562431,91.70532347276222,52.643082231692986,0.02021173564470475,0.019639599803425306
2022-10-05,1.1250576370127126,50.211366936822564,96.13778833907112,53.650419249089715,0.01937888388746285,0.01904037748360412
2022-10-06,1.1412455404372581,50.22477258814751,96.70784190157396,55.39225489073893,0.01912551493044033,0.01880152233100404
2022-10-07,1.1486307044033868,48.26102158608255,91.79320532239717,52.60299714811709,0.02014398237306599,0.01959742025838482
2022-10-10,1.181688525944581,50.51140340043107,98.10889737123706,55.93662332285003,0.018938373108131963,0.018466219031835936
2022-10-11,1.1823237205057318,50.104870781192155,97.41511690494316,55.49793246782783,0.019108350678363233,0.0186210808242705
2022-10-12,1.2083346775129855,52.201608250367514,97.27371771935603,56.26040082701492,0.018875079734426703,0.01835799809412057
2022-10-13,1.1805130431641364,52.0637270343207,96.15886370522551,55.66573471345081,0.019163757277626193,0.018634912606141408
2022-10-14,1.19866024779167,53.18092467697186,99.22296980845177,56.91401896518649,0.01863196516111158,0.018127174683732882
2022-10-17,1.1526589541417518,57.31232831037792,107.9722061259102,61.67695619990184,0.01739504245231329,0.016909919521429305
2022-10-18,1.1382390563659681,55.50139998826802,103.07700001790624,59.65078852890835,0.01815271946372088,0.017663603872518568
2022-10-19,1.1092385295139335,56.24882545426138,103.3425245487751,60.57979920644578,0.018108976231710025,0.017613604491147804
2022-10-20,1.1007794486969187,60.13695337885969,112.97323306254117,64.38786028318539,0.01683391760841064,0.016369453869115196
2022-10-21,1.1213427947624848,59.549075288828305,111.50670580100005,64.08277899665343,0.016978234220585437,0.01650714003338246
